glottocode	SAHUL001	SAHUL002	SAHUL003	SAHUL004	SAHUL005	SAHUL006	SAHUL007	SAHUL008	SAHUL009	SAHUL010	SAHUL011	SAHUL012	SAHUL013	SAHUL014	SAHUL015	SAHUL016	SAHUL017	SAHUL018	SAHUL019	SAHUL020
abau1245	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0
abui1241	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	1	0	0	1
adze1240	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0
alam1246	1	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1
ambu1247	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0
anem1249	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0
anin1240	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0
aram1253	0	1	1	1	0	0	1	1	0	0	0	1	0	NA	1	0	1	1	0	0
aros1241	NA	NA	1	0	0	0	1	NA	NA	0	1	NA	0	NA	NA	NA	0	NA	NA	1
atam1239	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	NA	NA	0
band1339	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0
bann1247	1	NA	1	0	0	1	1	0	0	0	1	0	0	NA	1	0	1	0	0	NA
bata1293	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0
bauz1241	0	NA	1	0	0	0	1	0	0	0	1	0	NA	NA	NA	0	1	0	0	NA
biak1248	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	1
bilu1245	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
bine1240	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
buki1249	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0
buna1278	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1
bunu1267	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1
bura1267	1	1	0	0	1	0	1	1	1	0	0	0	0	NA	1	0	1	0	1	0
buru1303	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
cebu1242	1	NA	1	0	1	0	1	0	0	0	0	0	1	0	NA	0	1	NA	0	1
chek1238	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1
dera1245	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0
duna1248	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
dutc1256	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1
east2440	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0
east2563	0	NA	1	0	1	0	0	1	0	0	0	1	NA	0	1	1	1	1	1	0
fiji1243	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
fore1270	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
futu1245	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1
gang1267	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0
gara1269	1	NA	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	NA	0
gela1263	NA	NA	1	0	1	1	1	NA	NA	0	0	NA	0	NA	NA	NA	0	NA	NA	1
gizr1240	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0
goli1247	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0
gras1249	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
hali1244	NA	NA	1	0	1	0	1	NA	NA	0	1	NA	NA	NA	NA	NA	1	NA	NA	0
hata1243	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0
hili1240	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1
huaa1250	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0
iaai1238	1	NA	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1
idaa1241	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0
ilok1237	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1
imon1245	0	0	1	0	0	1	1	0	0	1	0	1	NA	NA	NA	0	1	1	0	0
indo1316	1	NA	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	NA	0	0
kair1263	1	NA	1	0	1	0	0	NA	1	0	0	0	0	0	1	0	1	1	0	0
kala1377	0	0	1	0	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0
kalu1248	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0
kama1367	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	1	0	0
kamo1255	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
kana1288	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0
kaul1240	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0
kaya1319	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0
kele1258	NA	NA	1	1	1	0	1	NA	NA	0	0	NA	1	NA	NA	NA	1	NA	NA	0
kelo1247	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	NA	1	0	0	NA
kili1267	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0
kobo1249	1	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	0	0
koko1269	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1
kolp1236	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0
kora1294	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0
koro1312	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0
kove1237	NA	NA	1	1	1	1	1	NA	NA	0	0	NA	0	NA	NA	NA	1	NA	NA	0
kris1246	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0
kuan1248	NA	NA	1	0	1	0	1	NA	NA	0	1	NA	0	NA	NA	NA	1	NA	NA	1
kuma1276	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0
kuot1243	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
lard1243	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0
lavu1241	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1
long1395	NA	NA	1	1	1	0	1	NA	NA	0	0	NA	0	NA	NA	NA	0	NA	NA	0
